CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37180,El Juncal,2,0,0,0,0,0,0,0,0,0,1/2025
37210,El Llano Grande,0,0,0,0,0,0,0,0,0,0,1/2025
37249,El Lucero,0,0,0,0,0,0,0,0,0,0,1/2025
37547,El Mayorazgo Residencial,0,0,0,0,0,0,0,0,0,0,1/2025
37156,El Mirador Campestre,2,0,0,0,2,0,0,0,0,0,1/2025
37500,El Mirador Oriental,0,0,0,0,0,0,0,0,0,0,1/2025
37138,El Molino Residencial y Golf,0,0,0,0,0,0,0,0,0,0,1/2025
37664,El Nacimiento,0,0,0,0,0,0,0,0,0,0,1/2025
37353,El Observatorio 2,0,0,0,0,0,0,0,0,0,0,1/2025
37480,El Paisaje,0,0,0,0,0,0,0,0,0,0,1/2025
37100,El Palmar,2,0,0,0,0,0,0,0,0,0,1/2025
37130,El Palote,0,0,0,0,0,0,0,0,0,0,1/2025
37170,El Palote Sur Fracciones,0,0,0,0,0,0,0,0,0,0,1/2025
37109,El Parador,0,0,0,0,0,0,0,0,0,0,1/2025
37353,El Paraíso,0,0,0,0,0,0,0,0,0,0,1/2025
37669,El Pato (Loma del Laurel),0,0,0,0,0,0,0,0,0,0,1/2025
37119,El Peluchan,0,0,0,0,0,0,0,0,0,0,1/2025
37207,El Penitente,0,0,0,0,0,0,0,0,0,0,1/2025
37238,El Peñón,0,0,0,0,0,0,0,0,0,0,1/2025
37690,El Pino (Potrero de la Caja),0,0,0,0,0,0,0,0,0,0,1/2025
37109,El Pochote,0,0,0,0,0,0,0,0,0,0,1/2025
37299,El Porvenir,0,0,0,0,0,0,0,0,0,0,1/2025
37109,El Potrero,0,0,0,0,0,0,0,0,0,0,1/2025
37668,El Progreso,0,0,0,0,0,0,0,0,0,0,1/2025
37157,El Pueblito del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025
37660,El Puente,0,0,0,0,0,0,0,0,0,0,1/2025
37667,El Ramillete,0,0,0,0,0,0,0,0,0,0,1/2025
37433,El Recuerdo,0,0,0,0,0,0,0,0,0,0,1/2025
37270,El Refugio,0,2,0,0,2,0,0,0,0,0,1/2025
37156,El Refugio Campestre,0,2,0,0,0,0,0,0,0,0,1/2025
37355,El Renacimiento,0,0,0,0,0,0,0,0,0,0,1/2025
37685,El Resplandor (El Chorro),0,0,0,0,0,0,0,0,0,0,1/2025
37220,El Retiro,0,2,0,0,0,0,0,0,0,0,1/2025
37125,El Rosario,2,0,0,0,0,0,0,0,0,0,1/2025
37297,El Rotario,0,0,0,0,0,0,0,0,0,0,1/2025
37358,El Rubí,0,0,0,0,0,0,0,0,0,0,1/2025
37428,El Salto,0,0,0,0,0,0,0,0,0,0,1/2025
37698,El Sauco,0,0,0,0,0,0,0,0,0,0,1/2025
37685,El Tajo (Carlos Muñoz Horta),0,0,0,0,0,0,0,0,0,0,1/2025
37100,El Tecotán,0,0,0,0,0,0,0,0,0,0,1/2025
37500,El Tlacuache,0,0,0,0,0,0,0,0,0,0,1/2025
37526,El Tlacuache Ote.,0,0,0,2,0,0,0,0,0,0,1/2025
37687,El Tope de la Sandía,0,0,0,0,0,0,0,0,0,0,1/2025
37547,El Trébol,0,0,0,0,0,0,0,0,0,0,1/2025
37188,El Trianon,0,0,0,0,0,0,0,0,0,0,1/2025
37207,El Valladito,0,0,0,0,0,0,0,0,0,0,1/2025
37207,El Vivero,0,0,0,0,0,0,0,0,0,0,1/2025
37353,El Yacimiento,0,0,0,0,0,0,0,0,0,0,1/2025
37125,Entre dos Aguas,0,0,0,0,0,0,0,0,0,0,1/2025
37207,Ermita de Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025
37294,Esmeralda del Bajío,0,0,0,0,0,0,0,0,0,0,1/2025
37330,España,0,0,0,0,0,0,0,0,0,0,1/2025
37266,Españita,0,0,0,0,0,0,0,0,0,0,1/2025
37685,Estación Trinidad,0,0,0,0,0,0,0,0,0,0,1/2025
